id,node_lat,node_long,node_code,node_desc
1,60.585037,-145.626264,G,"N100 (Power Creek Substation - H5, H6, H7)"
2,60.586285,-145.623469,N,N101
3,60.58628,-145.623362,N,N102
4,60.583697,-145.630038,N,N103
5,60.614739,-145.628432,G,"N200 (Humpback Substation - H1, H2, H3, H4)"
6,60.616122,-145.630223,N,N201
7,60.616465,-145.629995,N,N202
8,60.616483,-145.627432,N,N203
9,60.610081,-145.632727,N,N204
10,60.597869,-145.663727,N,N205
11,60.556121,-145.753738,G,"N300 (Orca Substation - G3, G4, G5, G6, G7, G8)"
12,60.54054,-145.740904,N,N400
13,60.55604,-145.7538,N,N507
14,60.55604,-145.7538,N,N507
15,60.54728,-145.763625,N,N514
16,60.54728,-145.763625,N,N514
17,60.54875,-145.763994,N,N518
18,60.54875,-145.763994,N,N518
19,60.550438,-145.760331,N,N526
20,60.550438,-145.760331,N,N526
21,60.5405,-145.741037,N,N606
22,60.5405,-145.741037,N,N606
23,60.54319,-145.74179,N,N608
24,60.54319,-145.74179,N,N608
25,60.54319,-145.74179,N,N612
26,60.54319,-145.74179,N,N612
27,60.542419,-145.752657,N,N614
28,60.542419,-145.752657,N,N614
29,60.543419,-145.752657,N,N620
30,60.543419,-145.752657,N,N620
31,60.544636,-145.757055,N,N627
32,60.544636,-145.757055,N,N627
33,60.540457,-145.741037,N,N701
34,60.543756,-145.760985,N,N707
35,60.546848,-145.761041,N,N720
36,60.546848,-145.761041,N,N722
37,60.547613,-145.765318,N,N731
38,60.5405,-145.741037,N,N801
39,60.539322,-145.753094,N,N806
40,60.539322,-145.753094,N,N808
41,60.539322,-145.753094,N,N811
42,60.535159,-145.773058,N,N813
43,60.532345,-145.778623,N,N822
44,60.527345,-145.781623,N,N829
45,60.524323,-145.784216,N,N831
46,60.541412,-145.757476,N,N838
47,60.546626,-145.758652,N,N850
48,60.5405,-145.741037,N,N901
49,60.539483,-145.73447,N,N910
50,60.539483,-145.73447,N,N911
51,60.538594,-145.706188,N,N916
52,60.537257,-145.659961,N,N920
53,60.535957,-145.658961,N,N921
54,60.527245,-145.627593,N,N931
55,60.531245,-145.647593,N,N937
56,60.537332,-145.666187,N,N941
